edge_id,route_type,start_station_id,end_station_id,duration,distance,CO2_emitted
2315059,6,IDFM:463138,IDFM:22202,233,0.21096577994858953,0.0
2315060,6,IDFM:22025,IDFM:463297,11,0.010601047860411768,0.0
2315061,6,IDFM:35926,IDFM:462937,4,0.004138414295555765,0.0
2315062,6,IDFM:21903,IDFM:463316,273,0.2469883432692675,0.0
2315063,6,IDFM:463023,IDFM:monomodalStopPlace:43072,240,0.33228014932961614,0.0
2315064,6,IDFM:42111,IDFM:42115,361,0.3266238718601071,0.0
2315065,6,IDFM:21981,IDFM:463023,20,0.018690842992237038,0.0
2315066,6,IDFM:479383,IDFM:monomodalStopPlace:43251,222,0.1250659302377796,0.0
2315067,6,IDFM:24137,IDFM:24141,354,0.3197378673643193,0.0
2315068,6,IDFM:463246,IDFM:21932,330,0.2986900345211773,0.0
2315069,6,IDFM:21926,IDFM:21963,342,0.30943569599906273,0.0
2315070,6,IDFM:21937,IDFM:22199,180,0.14280729684368726,0.0
2315071,6,IDFM:462960,IDFM:22026,348,0.31422047122510655,0.0
2315072,6,IDFM:monomodalStopPlace:470519,IDFM:22007,329,0.29723846240290797,0.0
2315073,6,IDFM:22207,IDFM:463277,376,0.3397409351785847,0.0
2315074,6,IDFM:22041,IDFM:463281,13,0.012208365919813976,0.0
2315075,6,IDFM:monomodalStopPlace:58759,IDFM:22095,218,0.04710347509736587,0.0
2315076,6,IDFM:22139,IDFM:462992,33,0.030106165847853753,0.0
2315077,6,IDFM:42119,IDFM:42124,13,0.012203378918571248,0.0
2315078,6,IDFM:24121,IDFM:24104,17,0.015942356402049995,0.0
2315079,6,IDFM:462446,IDFM:462436,30,0.02775227116547664,0.0
2315080,6,IDFM:463300,IDFM:21911,12,0.011042202168828737,0.0
2315081,6,IDFM:22195,IDFM:463144,356,0.3219171163323561,0.0
2315082,6,IDFM:42123,IDFM:22241,211,0.09345339529708038,0.0
2315083,6,IDFM:422039,IDFM:422040,27,0.02522738943301448,0.0
2315084,6,IDFM:463112,IDFM:monomodalStopPlace:45301,240,0.1712579704117806,0.0
2315085,6,IDFM:10217,IDFM:10216,14,0.012663971669063556,0.0
2315086,6,IDFM:471064,IDFM:462970,345,0.31215117274220633,0.0
2315087,6,IDFM:22231,IDFM:462978,9,0.00827602788451771,0.0
2315088,6,IDFM:24129,IDFM:463260,236,0.15252592298606196,0.0
2315089,6,IDFM:463257,IDFM:490882,120,0.13639895656075077,0.0
2315090,6,IDFM:463312,IDFM:21920,180,0.015987199541342756,0.0
2315091,6,IDFM:462997,IDFM:462991,61,0.09942493062454584,0.0
2315092,6,IDFM:472290,IDFM:monomodalStopPlace:411396,36,0.03283494854372664,0.0
2315093,6,IDFM:22187,IDFM:463211,26,0.023559078598963164,0.0
2315094,6,IDFM:463074,IDFM:463095,174,0.12684513855174157,0.0
2315095,6,IDFM:monomodalStopPlace:470195,IDFM:463046,180,0.3194069049263619,0.0
2315096,6,IDFM:463183,IDFM:monomodalStopPlace:58572,240,0.22241914881886762,0.0
2315097,6,IDFM:463009,IDFM:22107,11,0.009978673881167376,0.0
2315098,6,IDFM:471084,IDFM:472592,7,0.006497615808874244,0.0
2315099,6,IDFM:462970,IDFM:monomodalStopPlace:58566,240,0.27235997441490933,0.0
2315100,6,IDFM:21973,IDFM:462994,17,0.015637582471921947,0.0
2315101,6,IDFM:463262,IDFM:463263,92,0.08377924917431612,0.0
2315102,6,IDFM:478988,IDFM:478989,9,0.008737361805595147,0.0
2315103,6,IDFM:22137,IDFM:22150,359,0.3245592702251985,0.0
2315104,6,IDFM:471646,IDFM:21981,331,0.29889122158758086,0.0
2315105,6,IDFM:22130,IDFM:463093,11,0.01016165768771687,0.0
2315106,6,IDFM:21932,IDFM:463244,360,0.325881095919025,0.0
2315107,6,IDFM:486841,IDFM:monomodalStopPlace:46007,180,0.16252713708850403,0.0
2315108,6,IDFM:22219,IDFM:480531,180,0.021111603738678496,0.0
2315109,6,IDFM:463060,IDFM:22364,13,0.012033928692554733,0.0
2315110,6,IDFM:463264,IDFM:21920,23,0.021047642837519743,0.0
2315111,6,IDFM:22635,IDFM:monomodalStopPlace:412743,276,0.1927495056925969,0.0
2315112,6,IDFM:22223,IDFM:463085,11,0.010584652571871555,0.0
2315113,6,IDFM:463042,IDFM:22170,348,0.31458997719396464,0.0
2315114,6,IDFM:463162,IDFM:21987,354,0.31957946552403355,0.0
2315115,6,IDFM:21959,IDFM:monomodalStopPlace:45102,240,0.2911625541911131,0.0
2315116,6,IDFM:462997,IDFM:21950,107,0.101441724954185,0.0
2315117,6,IDFM:463314,IDFM:21979,308,0.2783640794273224,0.0
2315118,6,IDFM:22218,IDFM:monomodalStopPlace:58718,300,0.3393298944353982,0.0
2315119,6,IDFM:22015,IDFM:22625,227,0.08031097082765142,0.0
2315120,6,IDFM:21949,IDFM:463263,0,0.0,0.0
2315121,6,IDFM:21906,IDFM:monomodalStopPlace:45873,258,0.23366546948533107,0.0
2315122,6,IDFM:22159,IDFM:21920,180,0.004740755499161647,0.0
2315123,6,IDFM:2331,IDFM:2332,19,0.01721945214185766,0.0
2315124,6,IDFM:42113,IDFM:42106,334,0.3015732999611965,0.0
2315125,6,IDFM:24142,IDFM:22208,218,0.39021142171193063,0.0
2315126,6,IDFM:monomodalStopPlace:411504,IDFM:471890,12,0.011430000798831712,0.0
2315127,6,IDFM:21937,IDFM:21902,180,0.11380520030115555,0.0
2315128,6,IDFM:25641,IDFM:22101,268,0.1216122666842517,0.0
2315129,6,IDFM:monomodalStopPlace:470519,IDFM:463182,317,0.28660728532656304,0.0
2315130,6,IDFM:22026,IDFM:462963,194,0.17546582692826465,0.0
2315131,6,IDFM:monomodalStopPlace:58572,IDFM:471607,295,0.26661086044859067,0.0
2315132,6,IDFM:462988,IDFM:22106,13,0.01261972847104682,0.0
2315133,6,IDFM:22072,IDFM:462942,200,0.0681411439723136,0.0
2315134,6,IDFM:460550,IDFM:460549,7,0.006495644954743975,0.0
2315135,6,IDFM:24418,IDFM:463282,360,0.23437364631273827,0.0
2315136,6,IDFM:22208,IDFM:24142,218,0.39021142171193063,0.0
2315137,6,IDFM:490916,IDFM:490906,2,0.0022934204924826627,0.0
2315138,6,IDFM:462968,IDFM:463308,190,0.17179370961110438,0.0
2315139,6,IDFM:22381,IDFM:463246,95,0.18960797623599665,0.0
2315140,6,IDFM:22238,IDFM:463086,6,0.006177281272263604,0.0
2315141,6,IDFM:480936,IDFM:481075,15,0.013760384787413475,0.0
2315142,6,IDFM:486848,IDFM:486820,9,0.008286172823670694,0.0
2315143,6,IDFM:22052,IDFM:462974,181,0.04270556523353198,0.0
2315144,6,IDFM:22118,IDFM:24685,376,0.34021357264357377,0.0
2315145,6,IDFM:486898,IDFM:486878,17,0.01609661284425033,0.0
2315146,6,IDFM:463158,IDFM:463079,360,0.27250287323717687,0.0
2315147,6,IDFM:463283,IDFM:21960,180,0.029473795557558278,0.0
2315148,6,IDFM:463171,IDFM:22146,323,0.29166799932914883,0.0
2315149,6,IDFM:463277,IDFM:24138,245,0.4024623556151024,0.0
2315150,6,IDFM:22041,IDFM:412988,219,0.1372962241771757,0.0
2315151,6,IDFM:463079,IDFM:22087,240,0.11440349185403759,0.0
2315152,6,IDFM:463042,IDFM:463102,366,0.3306564230370929,0.0
2315153,6,IDFM:24682,IDFM:21951,75,0.03136703010554525,0.0
2315154,6,IDFM:22055,IDFM:463205,11,0.010348980295223017,0.0
2315155,6,IDFM:42102,IDFM:monomodalStopPlace:43077,379,0.2613890743153583,0.0
2315156,6,IDFM:24126,IDFM:24120,10,0.009743954765191142,0.0
2315157,6,IDFM:22159,IDFM:22134,180,0.0697954354504311,0.0
2315158,6,IDFM:35940,IDFM:35936,12,0.011368569747870792,0.0
2315159,6,IDFM:monomodalStopPlace:46007,IDFM:462400,900,0.970499451630664,0.0
